strain,replicate,drug,time,microcol,mic
H13,2,COL,24h,n,4
H13,2,COL,24h,y,4
H13,3,COL,24h,n,4
H13,3,COL,24h,y,4
H13,1,AMI,24h,n,6
H13,1,AMI,24h,y,6
H13,2,AMI,24h,n,6
H13,2,AMI,24h,y,6
H13,3,AMI,24h,n,6
H13,3,AMI,24h,y,6
H13,1,CTZ,24h,n,1.5
H13,1,CTZ,24h,y,1.5
H13,2,CTZ,24h,n,1.5
H13,2,CTZ,24h,y,1.5
H13,3,CTZ,24h,n,2
H13,3,CTZ,24h,y,3
H13,1,CTT,24h,n,0.5
H13,1,CTT,24h,y,0.5
H13,2,CTT,24h,n,0.38
H13,2,CTT,24h,y,0.38
H13,3,CTT,24h,n,0.38
H13,3,CTT,24h,y,0.38
H13,1,CIP,48h,n,0.047
H13,1,CIP,48h,y,0.064
H13,2,CIP,48h,n,0.064
H13,2,CIP,48h,y,0.064
H13,3,CIP,48h,n,0.064
H13,3,CIP,48h,y,0.094
H13,1,GEN,48h,n,1.5
H13,1,GEN,48h,y,1.5
H13,2,GEN,48h,n,NA
H13,2,GEN,48h,y,NA
H13,3,GEN,48h,n,1
H13,3,GEN,48h,y,1
H13,1,TOB,48h,n,1
H13,1,TOB,48h,y,1
H13,2,TOB,48h,n,NA
H13,2,TOB,48h,y,NA
H13,3,TOB,48h,n,1.5
H13,3,TOB,48h,y,1.5
H13,1,MER,48h,n,0.016
H13,1,MER,48h,y,0.016
H13,2,MER,48h,n,NA
H13,2,MER,48h,y,NA
H13,3,MER,48h,n,0.023
H13,3,MER,48h,y,0.023
H13,1,PIT,48h,n,2
H13,1,PIT,48h,y,2
H13,2,PIT,48h,n,NA
H13,2,PIT,48h,y,NA
H13,3,PIT,48h,n,3
H13,3,PIT,48h,y,3
H13,1,COL,48h,n,4
H13,1,COL,48h,y,4
H13,2,COL,48h,n,4
H13,2,COL,48h,y,4
H13,3,COL,48h,n,4
H13,3,COL,48h,y,4
H13,1,AMI,48h,n,6
H13,1,AMI,48h,y,8
H13,2,AMI,48h,n,6
H13,2,AMI,48h,y,6
H13,3,AMI,48h,n,6
H13,3,AMI,48h,y,6
H13,1,CTZ,48h,n,1.5
H13,1,CTZ,48h,y,1.5
H13,2,CTZ,48h,n,1.5
H13,2,CTZ,48h,y,1.5
H13,3,CTZ,48h,n,2
H13,3,CTZ,48h,y,3
H13,1,CTT,48h,n,0.5
H13,1,CTT,48h,y,0.75
H13,2,CTT,48h,n,0.38
H13,2,CTT,48h,y,0.38
H13,3,CTT,48h,n,0.38
H13,3,CTT,48h,y,0.38
H14,1,CIP,24h,n,0.064
H14,1,CIP,24h,y,0.094
H14,2,CIP,24h,n,0.064
H14,2,CIP,24h,y,0.064
H14,3,CIP,24h,n,0.032
H14,3,CIP,24h,y,0.064
H14,1,GEN,24h,n,1.5
H14,1,GEN,24h,y,1.5
H14,2,GEN,24h,n,2
H14,2,GEN,24h,y,2
H14,3,GEN,24h,n,1.5
H14,3,GEN,24h,y,1.5
H14,1,TOB,24h,n,0.75
H14,1,TOB,24h,y,0.75
H14,2,TOB,24h,n,1
H14,2,TOB,24h,y,1
H14,3,TOB,24h,n,1.5
H14,3,TOB,24h,y,1.5
H14,1,MER,24h,n,0.012
H14,1,MER,24h,y,0.012
H14,2,MER,24h,n,0.012
H14,2,MER,24h,y,0.012
H14,3,MER,24h,n,0.012
H14,3,MER,24h,y,0.012
H14,1,PIT,24h,n,1
H14,1,PIT,24h,y,1
H14,2,PIT,24h,n,0.75
H14,2,PIT,24h,y,0.75
H14,3,PIT,24h,n,1.5
H14,3,PIT,24h,y,1.5
H14,1,COL,24h,n,2
H14,1,COL,24h,y,2
H14,2,COL,24h,n,3
H14,2,COL,24h,y,12
H14,3,COL,24h,n,2
H14,3,COL,24h,y,2
H14,1,AMI,24h,n,4
H14,1,AMI,24h,y,4
H14,2,AMI,24h,n,4
H14,2,AMI,24h,y,4
H14,3,AMI,24h,n,3
H14,3,AMI,24h,y,3
H14,1,CTZ,24h,n,0.5
H14,1,CTZ,24h,y,1.5
H14,2,CTZ,24h,n,0.75
H14,2,CTZ,24h,y,1
H14,3,CTZ,24h,n,0.38
H14,3,CTZ,24h,y,0.5
H14,1,CTT,24h,n,0.38
H14,1,CTT,24h,y,0.38
H14,2,CTT,24h,n,0.38
H14,2,CTT,24h,y,0.38
H14,3,CTT,24h,n,0.38
H14,3,CTT,24h,y,0.38
H14,1,CIP,48h,n,0.094
H14,1,CIP,48h,y,0.094
H14,2,CIP,48h,n,0.064
H14,2,CIP,48h,y,0.064
H14,3,CIP,48h,n,0.047
H14,3,CIP,48h,y,0.047
H14,1,GEN,48h,n,1.5
H14,1,GEN,48h,y,1.5
H14,2,GEN,48h,n,2
H14,2,GEN,48h,y,2
H14,3,GEN,48h,n,1.5
H14,3,GEN,48h,y,1.5
H14,1,TOB,48h,n,0.75
H14,1,TOB,48h,y,0.75
H14,2,TOB,48h,n,1
H14,2,TOB,48h,y,1
H14,3,TOB,48h,n,1.5
H14,3,TOB,48h,y,1.5
H14,1,MER,48h,n,0.012
H14,1,MER,48h,y,0.012
H14,2,MER,48h,n,0.012
H14,2,MER,48h,y,0.012
H14,3,MER,48h,n,0.012
H14,3,MER,48h,y,0.012
H14,1,PIT,48h,n,0.75
H14,1,PIT,48h,y,0.75
H14,2,PIT,48h,n,0.75
H14,2,PIT,48h,y,0.75
H14,3,PIT,48h,n,1.5
H14,3,PIT,48h,y,1.5
H14,1,COL,48h,n,2
H14,1,COL,48h,y,2
H14,2,COL,48h,n,3
H14,2,COL,48h,y,12
H14,3,COL,48h,n,2
H14,3,COL,48h,y,4
H14,1,AMI,48h,n,4
H14,1,AMI,48h,y,4
H14,2,AMI,48h,n,4
H14,2,AMI,48h,y,4
H14,3,AMI,48h,n,3
H14,3,AMI,48h,y,3
H14,1,CTZ,48h,n,0.5
H14,1,CTZ,48h,y,1.5
H14,2,CTZ,48h,n,0.75
H14,2,CTZ,48h,y,1
H14,3,CTZ,48h,n,0.38
H14,3,CTZ,48h,y,0.5
H14,1,CTT,48h,n,0.38
H14,1,CTT,48h,y,0.38
H14,2,CTT,48h,n,0.38
H14,2,CTT,48h,y,0.38
H14,3,CTT,48h,n,0.38
H14,3,CTT,48h,y,0.38
H15,1,CIP,24h,n,0.032
H15,1,CIP,24h,y,0.064
H15,2,CIP,24h,n,0.064
H15,2,CIP,24h,y,0.125
H15,3,CIP,24h,n,0.064
H15,3,CIP,24h,y,0.125
H15,1,GEN,24h,n,1
H15,1,GEN,24h,y,1
H15,2,GEN,24h,n,1.5
H15,2,GEN,24h,y,1.5
H15,3,GEN,24h,n,0.75
H15,3,GEN,24h,y,0.75
H15,1,TOB,24h,n,0.75
H15,1,TOB,24h,y,0.75
H15,2,TOB,24h,n,0.75
H15,2,TOB,24h,y,0.75
H15,3,TOB,24h,n,1
H15,3,TOB,24h,y,1
H15,1,MER,24h,n,0.032
H15,1,MER,24h,y,0.032
H15,2,MER,24h,n,0.023
H15,2,MER,24h,y,0.023
H15,3,MER,24h,n,0.023
H15,3,MER,24h,y,0.023
H15,1,PIT,24h,n,0.5
H15,1,PIT,24h,y,0.5
H15,2,PIT,24h,n,0.75
H15,2,PIT,24h,y,0.75
H15,3,PIT,24h,n,1
H15,3,PIT,24h,y,1
H15,1,COL,24h,n,6
H15,1,COL,24h,y,6
H15,2,COL,24h,n,4
H15,2,COL,24h,y,4
H15,3,COL,24h,n,6
H15,3,COL,24h,y,6
H15,1,AMI,24h,n,2
H15,1,AMI,24h,y,4
H15,2,AMI,24h,n,4
H15,2,AMI,24h,y,8
H15,3,AMI,24h,n,4
H15,3,AMI,24h,y,6
H15,1,CTZ,24h,n,0.19
H15,1,CTZ,24h,y,0.25
H15,2,CTZ,24h,n,0.19
H15,2,CTZ,24h,y,1.5
H15,3,CTZ,24h,n,0.125
H15,3,CTZ,24h,y,0.38
H15,1,CTT,24h,n,0.064
H15,1,CTT,24h,y,0.38
H15,2,CTT,24h,n,0.047
H15,2,CTT,24h,y,0.094
H15,3,CTT,24h,n,0.047
H15,3,CTT,24h,y,0.25
H15,1,CIP,48h,n,0.047
H15,1,CIP,48h,y,0.047
H15,2,CIP,48h,n,0.064
H15,2,CIP,48h,y,0.125
H15,3,CIP,48h,n,0.064
H15,3,CIP,48h,y,0.125
H15,1,GEN,48h,n,1
H15,1,GEN,48h,y,1.5
H15,2,GEN,48h,n,1.5
H15,2,GEN,48h,y,1.5
H15,3,GEN,48h,n,0.75
H15,3,GEN,48h,y,0.75
H15,1,TOB,48h,n,1
H15,1,TOB,48h,y,1
H15,2,TOB,48h,n,0.75
H15,2,TOB,48h,y,0.75
H15,3,TOB,48h,n,1
H15,3,TOB,48h,y,1
H15,1,MER,48h,n,0.032
H15,1,MER,48h,y,0.047
H15,2,MER,48h,n,0.023
H15,2,MER,48h,y,0.125
H15,3,MER,48h,n,0.023
H15,3,MER,48h,y,0.032
H15,1,PIT,48h,n,0.5
H15,1,PIT,48h,y,0.75
H15,2,PIT,48h,n,0.75
H15,2,PIT,48h,y,0.75
H15,3,PIT,48h,n,1
H15,3,PIT,48h,y,1
H15,1,COL,48h,n,6
H15,1,COL,48h,y,6
H15,2,COL,48h,n,4
H15,2,COL,48h,y,4
H15,3,COL,48h,n,6
H15,3,COL,48h,y,6
H15,1,AMI,48h,n,2
H15,1,AMI,48h,y,6
H15,2,AMI,48h,n,4
H15,2,AMI,48h,y,12
H15,3,AMI,48h,n,4
H15,3,AMI,48h,y,8
H15,1,CTZ,48h,n,0.19
H15,1,CTZ,48h,y,0.38
H15,2,CTZ,48h,n,0.19
H15,2,CTZ,48h,y,1.5
H15,3,CTZ,48h,n,0.125
H15,3,CTZ,48h,y,0.38
H15,1,CTT,48h,n,0.064
H15,1,CTT,48h,y,0.38
H15,2,CTT,48h,n,0.047
H15,2,CTT,48h,y,0.094
H15,3,CTT,48h,n,0.047
H15,3,CTT,48h,y,0.25
H16,1,CIP,24h,n,0.094
H16,1,CIP,24h,y,0.125
H16,2,CIP,24h,n,0.125
H16,2,CIP,24h,y,0.125
H16,3,CIP,24h,n,0.047
H16,3,CIP,24h,y,0.064
H16,1,GEN,24h,n,0.75
H16,1,GEN,24h,y,0.75
H16,2,GEN,24h,n,1.5
H16,2,GEN,24h,y,1.5
H16,3,GEN,24h,n,1.5
H16,3,GEN,24h,y,1.5
H16,1,TOB,24h,n,1.5
H16,1,TOB,24h,y,1.5
H16,2,TOB,24h,n,0.75
H16,2,TOB,24h,y,0.75
H16,3,TOB,24h,n,1.5
H16,3,TOB,24h,y,1.5
H16,1,MER,24h,n,0.047
H16,1,MER,24h,y,0.047
H16,2,MER,24h,n,0.047
H16,2,MER,24h,y,0.047
H16,3,MER,24h,n,0.047
H16,3,MER,24h,y,0.047
H16,1,PIT,24h,n,3
H16,1,PIT,24h,y,3
H16,2,PIT,24h,n,3
H16,2,PIT,24h,y,3
H16,3,PIT,24h,n,2
H16,3,PIT,24h,y,2
H16,1,COL,24h,n,2
H16,1,COL,24h,y,4
H16,2,COL,24h,n,2
H16,2,COL,24h,y,16
H16,3,COL,24h,n,3
H16,3,COL,24h,y,3
H16,1,AMI,24h,n,6
H16,1,AMI,24h,y,6
H16,2,AMI,24h,n,8
H16,2,AMI,24h,y,8
H16,3,AMI,24h,n,8
H16,3,AMI,24h,y,16
H16,1,CTZ,24h,n,1.5
H16,1,CTZ,24h,y,2
H16,2,CTZ,24h,n,1
H16,2,CTZ,24h,y,2
H16,3,CTZ,24h,n,1
H16,3,CTZ,24h,y,2
H16,1,CTT,24h,n,0.5
H16,1,CTT,24h,y,0.5
H16,2,CTT,24h,n,0.5
H16,2,CTT,24h,y,0.5
H16,3,CTT,24h,n,0.25
H16,3,CTT,24h,y,0.25
H16,1,CIP,48h,n,0.094
H16,1,CIP,48h,y,0.094
H16,2,CIP,48h,n,0.125
H16,2,CIP,48h,y,0.125
H16,3,CIP,48h,n,0.047
H16,3,CIP,48h,y,0.064
H16,1,GEN,48h,n,1
H16,1,GEN,48h,y,1
H16,2,GEN,48h,n,1.5
H16,2,GEN,48h,y,1.5
H16,3,GEN,48h,n,1.5
H16,3,GEN,48h,y,1.5
H16,1,TOB,48h,n,1.5
H16,1,TOB,48h,y,1.5
H16,2,TOB,48h,n,1
H16,2,TOB,48h,y,1
H16,3,TOB,48h,n,1.5
H16,3,TOB,48h,y,1.5
H16,1,MER,48h,n,0.047
H16,1,MER,48h,y,0.047
H16,2,MER,48h,n,0.047
H16,2,MER,48h,y,0.047
H16,3,MER,48h,n,0.047
H16,3,MER,48h,y,0.047
H16,1,PIT,48h,n,3
H16,1,PIT,48h,y,3
H16,2,PIT,48h,n,3
H16,2,PIT,48h,y,3
H16,3,PIT,48h,n,2
H16,3,PIT,48h,y,2
H16,1,COL,48h,n,2
H16,1,COL,48h,y,4
H16,2,COL,48h,n,2
H16,2,COL,48h,y,16
H16,3,COL,48h,n,3
H16,3,COL,48h,y,3
H16,1,AMI,48h,n,6
H16,1,AMI,48h,y,6
H16,2,AMI,48h,n,8
H16,2,AMI,48h,y,8
H16,3,AMI,48h,n,8
H16,3,AMI,48h,y,16
H16,1,CTZ,48h,n,1.5
H16,1,CTZ,48h,y,2
H16,2,CTZ,48h,n,1
H16,2,CTZ,48h,y,2
H16,3,CTZ,48h,n,1
H16,3,CTZ,48h,y,2
H16,1,CTT,48h,n,0.5
H16,1,CTT,48h,y,0.5
H16,2,CTT,48h,n,0.5
H16,2,CTT,48h,y,0.5
H16,3,CTT,48h,n,0.25
H16,3,CTT,48h,y,0.25
H17,1,CIP,24h,n,0.064
H17,1,CIP,24h,y,0.125
H17,2,CIP,24h,n,0.094
H17,2,CIP,24h,y,0.19
H17,3,CIP,24h,n,0.094
H17,3,CIP,24h,y,0.094
H17,1,GEN,24h,n,1.5
H17,1,GEN,24h,y,1.5
H17,2,GEN,24h,n,1.5
H17,2,GEN,24h,y,1.5
H17,3,GEN,24h,n,1
H17,3,GEN,24h,y,1
H17,1,TOB,24h,n,2
H17,1,TOB,24h,y,2
H17,2,TOB,24h,n,1.5
H17,2,TOB,24h,y,1.5
H17,3,TOB,24h,n,1.5
H17,3,TOB,24h,y,1.5
H17,1,MER,24h,n,0.032
H17,1,MER,24h,y,0.032
H17,2,MER,24h,n,0.047
H17,2,MER,24h,y,0.047
H17,3,MER,24h,n,0.023
H17,3,MER,24h,y,0.023
H17,1,PIT,24h,n,4
H17,1,PIT,24h,y,4
H17,2,PIT,24h,n,3
H17,2,PIT,24h,y,3
H17,3,PIT,24h,n,4
H17,3,PIT,24h,y,4
H17,1,COL,24h,n,4
H17,1,COL,24h,y,4
H17,2,COL,24h,n,4
H17,2,COL,24h,y,4
H17,3,COL,24h,n,3
H17,3,COL,24h,y,3
H17,1,AMI,24h,n,6
H17,1,AMI,24h,y,6
H17,2,AMI,24h,n,6
H17,2,AMI,24h,y,12
H17,3,AMI,24h,n,4
H17,3,AMI,24h,y,4
H17,1,CTZ,24h,n,2
H17,1,CTZ,24h,y,2
H17,2,CTZ,24h,n,2
H17,2,CTZ,24h,y,2
H17,3,CTZ,24h,n,2
H17,3,CTZ,24h,y,2
H17,1,CTT,24h,n,0.75
H17,1,CTT,24h,y,0.75
H17,2,CTT,24h,n,0.5
H17,2,CTT,24h,y,0.5
H17,3,CTT,24h,n,0.5
H17,3,CTT,24h,y,0.5
H17,1,CIP,48h,n,0.064
H17,1,CIP,48h,y,0.125
H17,2,CIP,48h,n,0.094
H17,2,CIP,48h,y,0.125
H17,3,CIP,48h,n,0.094
H17,3,CIP,48h,y,0.125
H17,1,GEN,48h,n,1
H17,1,GEN,48h,y,1
H17,2,GEN,48h,n,1.5
H17,2,GEN,48h,y,1.5
H17,3,GEN,48h,n,1.5
H17,3,GEN,48h,y,1.5
H17,1,TOB,48h,n,1.5
H17,1,TOB,48h,y,1.5
H17,2,TOB,48h,n,1.5
H17,2,TOB,48h,y,1.5
H17,3,TOB,48h,n,2
H17,3,TOB,48h,y,2
H17,1,MER,48h,n,0.023
H17,1,MER,48h,y,0.023
H17,2,MER,48h,n,0.047
H17,2,MER,48h,y,0.047
H17,3,MER,48h,n,0.032
H17,3,MER,48h,y,0.032
H17,1,PIT,48h,n,4
H17,1,PIT,48h,y,4
H17,2,PIT,48h,n,3
H17,2,PIT,48h,y,3
H17,3,PIT,48h,n,4
H17,3,PIT,48h,y,4
H17,1,COL,48h,n,4
H17,1,COL,48h,y,4
H17,2,COL,48h,n,4
H17,2,COL,48h,y,6
H17,3,COL,48h,n,3
H17,3,COL,48h,y,3
H17,1,AMI,48h,n,6
H17,1,AMI,48h,y,6
H17,2,AMI,48h,n,6
H17,2,AMI,48h,y,12
H17,3,AMI,48h,n,4
H17,3,AMI,48h,y,4
H17,1,CTZ,48h,n,2
H17,1,CTZ,48h,y,2
H17,2,CTZ,48h,n,2
H17,2,CTZ,48h,y,2
H17,3,CTZ,48h,n,2
H17,3,CTZ,48h,y,2
H17,1,CTT,48h,n,0.75
H17,1,CTT,48h,y,0.75
H17,2,CTT,48h,n,0.5
H17,2,CTT,48h,y,0.5
H17,3,CTT,48h,n,0.5
H17,3,CTT,48h,y,0.5
H18,1,CIP,24h,n,0.064
H18,1,CIP,24h,y,0.064
H18,2,CIP,24h,n,0.064
H18,2,CIP,24h,y,0.125
H18,3,CIP,24h,n,0.094
H18,3,CIP,24h,y,0.094
H18,1,GEN,24h,n,2
H18,1,GEN,24h,y,3
H18,2,GEN,24h,n,3
H18,2,GEN,24h,y,4
H18,3,GEN,24h,n,2
H18,3,GEN,24h,y,2
H18,1,TOB,24h,n,1.5
H18,1,TOB,24h,y,1.5
H18,2,TOB,24h,n,1.5
H18,2,TOB,24h,y,1.5
H18,3,TOB,24h,n,2
H18,3,TOB,24h,y,2
H18,1,MER,24h,n,0.032
H18,1,MER,24h,y,0.047
H18,2,MER,24h,n,0.032
H18,2,MER,24h,y,0.032
H18,3,MER,24h,n,0.032
H18,3,MER,24h,y,0.032
H18,1,PIT,24h,n,3
H18,1,PIT,24h,y,3
H18,2,PIT,24h,n,3
H18,2,PIT,24h,y,3
H18,3,PIT,24h,n,6
H18,3,PIT,24h,y,6
H18,1,COL,24h,n,3
H18,1,COL,24h,y,3
H18,2,COL,24h,n,3
H18,2,COL,24h,y,3
H18,3,COL,24h,n,3
H18,3,COL,24h,y,3
H18,1,AMI,24h,n,8
H18,1,AMI,24h,y,8
H18,2,AMI,24h,n,8
H18,2,AMI,24h,y,8
H18,3,AMI,24h,n,8
H18,3,AMI,24h,y,8
H18,1,CTZ,24h,n,1.5
H18,1,CTZ,24h,y,1.5
H18,2,CTZ,24h,n,2
H18,2,CTZ,24h,y,2
H18,3,CTZ,24h,n,1
H18,3,CTZ,24h,y,1
H18,1,CTT,24h,n,0.38
H18,1,CTT,24h,y,0.38
H18,2,CTT,24h,n,0.5
H18,2,CTT,24h,y,0.5
H18,3,CTT,24h,n,0.5
H18,3,CTT,24h,y,0.75
H18,1,CIP,48h,n,0.094
H18,1,CIP,48h,y,0.094
H18,2,CIP,48h,n,0.064
H18,2,CIP,48h,y,0.125
H18,3,CIP,48h,n,0.064
H18,3,CIP,48h,y,0.094
H18,1,GEN,48h,n,2
H18,1,GEN,48h,y,2
H18,2,GEN,48h,n,3
H18,2,GEN,48h,y,4
H18,3,GEN,48h,n,2
H18,3,GEN,48h,y,2
H18,1,TOB,48h,n,1.5
H18,1,TOB,48h,y,1.5
H18,2,TOB,48h,n,1.5
H18,2,TOB,48h,y,1.5
H18,3,TOB,48h,n,2
H18,3,TOB,48h,y,2
H18,1,MER,48h,n,0.032
H18,1,MER,48h,y,0.047
H18,2,MER,48h,n,0.032
H18,2,MER,48h,y,0.032
H18,3,MER,48h,n,0.032
H18,3,MER,48h,y,0.032
H18,1,PIT,48h,n,3
H18,1,PIT,48h,y,3
H18,2,PIT,48h,n,3
H18,2,PIT,48h,y,3
H18,3,PIT,48h,n,6
H18,3,PIT,48h,y,6
H18,1,COL,48h,n,3
H18,1,COL,48h,y,3
H18,2,COL,48h,n,3
H18,2,COL,48h,y,3
H18,3,COL,48h,n,3
H18,3,COL,48h,y,3
H18,1,AMI,48h,n,8
H18,1,AMI,48h,y,8
H18,2,AMI,48h,n,8
H18,2,AMI,48h,y,8
H18,3,AMI,48h,n,8
H18,3,AMI,48h,y,8
H18,1,CTZ,48h,n,1.5
H18,1,CTZ,48h,y,1.5
H18,2,CTZ,48h,n,2
H18,2,CTZ,48h,y,2
H18,3,CTZ,48h,n,1
H18,3,CTZ,48h,y,1
H18,1,CTT,48h,n,0.38
H18,1,CTT,48h,y,0.38
H18,2,CTT,48h,n,0.5
H18,2,CTT,48h,y,0.5
H18,3,CTT,48h,n,0.5
H18,3,CTT,48h,y,0.75
H19,1,CIP,24h,n,0.094
H19,1,CIP,24h,y,0.094
H19,2,CIP,24h,n,0.047
H19,2,CIP,24h,y,0.125
H19,3,CIP,24h,n,0.094
H19,3,CIP,24h,y,0.094
H19,1,GEN,24h,n,1.5
H19,1,GEN,24h,y,1.5
H19,2,GEN,24h,n,1.5
H19,2,GEN,24h,y,1.5
H19,3,GEN,24h,n,1
H19,3,GEN,24h,y,1
H19,1,TOB,24h,n,2
H19,1,TOB,24h,y,2
H19,2,TOB,24h,n,2
H19,2,TOB,24h,y,2
H19,3,TOB,24h,n,1.5
H19,3,TOB,24h,y,1.5
H19,1,MER,24h,n,0.047
H19,1,MER,24h,y,0.047
H19,2,MER,24h,n,0.023
H19,2,MER,24h,y,0.023
H19,3,MER,24h,n,0.047
H19,3,MER,24h,y,0.047
H19,1,PIT,24h,n,4
H19,1,PIT,24h,y,6
H19,2,PIT,24h,n,3
H19,2,PIT,24h,y,3
H19,3,PIT,24h,n,4
H19,3,PIT,24h,y,6
H19,1,COL,24h,n,4
H19,1,COL,24h,y,4
H19,2,COL,24h,n,3
H19,2,COL,24h,y,3
H19,3,COL,24h,n,4
H19,3,COL,24h,y,4
H19,1,AMI,24h,n,4
H19,1,AMI,24h,y,6
H19,2,AMI,24h,n,4
H19,2,AMI,24h,y,4
H19,3,AMI,24h,n,4
H19,3,AMI,24h,y,4
H19,1,CTZ,24h,n,1.5
H19,1,CTZ,24h,y,1.5
H19,2,CTZ,24h,n,2
H19,2,CTZ,24h,y,2
H19,3,CTZ,24h,n,1.5
H19,3,CTZ,24h,y,1.5
H19,1,CTT,24h,n,0.38
H19,1,CTT,24h,y,0.38
H19,2,CTT,24h,n,0.75
H19,2,CTT,24h,y,0.75
H19,3,CTT,24h,n,0.5
H19,3,CTT,24h,y,0.5
H19,1,CIP,48h,n,0.094
H19,1,CIP,48h,y,0.125
H19,2,CIP,48h,n,0.047
H19,2,CIP,48h,y,0.125
H19,3,CIP,48h,n,0.064
H19,3,CIP,48h,y,0.094
H19,1,GEN,48h,n,1.5
H19,1,GEN,48h,y,1.5
H19,2,GEN,48h,n,1.5
H19,2,GEN,48h,y,1.5
H19,3,GEN,48h,n,1
H19,3,GEN,48h,y,1
H19,1,TOB,48h,n,2
H19,1,TOB,48h,y,2
H19,2,TOB,48h,n,2
H19,2,TOB,48h,y,3
H19,3,TOB,48h,n,1.5
H19,3,TOB,48h,y,1.5
H19,1,MER,48h,n,0.047
H19,1,MER,48h,y,0.047
H19,2,MER,48h,n,0.023
H19,2,MER,48h,y,0.023
H19,3,MER,48h,n,0.047
H19,3,MER,48h,y,0.38
H19,1,PIT,48h,n,3
H19,1,PIT,48h,y,3
H19,2,PIT,48h,n,3
H19,2,PIT,48h,y,3
H19,3,PIT,48h,n,4
H19,3,PIT,48h,y,4
H19,1,COL,48h,n,6
H19,1,COL,48h,y,6
H19,2,COL,48h,n,3
H19,2,COL,48h,y,3
H19,3,COL,48h,n,4
H19,3,COL,48h,y,4
H19,1,AMI,48h,n,4
H19,1,AMI,48h,y,6
H19,2,AMI,48h,n,4
H19,2,AMI,48h,y,4
H19,3,AMI,48h,n,4
H19,3,AMI,48h,y,4
H19,1,CTZ,48h,n,1.5
H19,1,CTZ,48h,y,1.5
H19,2,CTZ,48h,n,2
H19,2,CTZ,48h,y,2
H19,3,CTZ,48h,n,1.5
H19,3,CTZ,48h,y,1.5
H19,1,CTT,48h,n,0.38
H19,1,CTT,48h,y,0.38
H19,2,CTT,48h,n,0.75
H19,2,CTT,48h,y,0.75
H19,3,CTT,48h,n,0.5
H19,3,CTT,48h,y,0.75
H20,1,CIP,24h,n,0.094
H20,1,CIP,24h,y,0.125
H20,2,CIP,24h,n,0.064
H20,2,CIP,24h,y,0.064
H20,3,CIP,24h,n,0.094
H20,3,CIP,24h,y,0.094
H20,1,GEN,24h,n,1.5
H20,1,GEN,24h,y,1.5
H20,2,GEN,24h,n,1
H20,2,GEN,24h,y,1
H20,3,GEN,24h,n,1.5
H20,3,GEN,24h,y,1.5
H20,1,TOB,24h,n,1.5
H20,1,TOB,24h,y,1.5
H20,2,TOB,24h,n,1.5
H20,2,TOB,24h,y,1.5
H20,3,TOB,24h,n,1.5
H20,3,TOB,24h,y,1.5
H20,1,MER,24h,n,0.032
H20,1,MER,24h,y,0.047
H20,2,MER,24h,n,0.032
H20,2,MER,24h,y,0.032
H20,3,MER,24h,n,0.032
H20,3,MER,24h,y,0.047
H20,1,PIT,24h,n,3
H20,1,PIT,24h,y,3
H20,2,PIT,24h,n,3
H20,2,PIT,24h,y,3
H20,3,PIT,24h,n,4
H20,3,PIT,24h,y,4
H20,1,COL,24h,n,4
H20,1,COL,24h,y,6
H20,2,COL,24h,n,3
H20,2,COL,24h,y,6
H20,3,COL,24h,n,4
H20,3,COL,24h,y,4
H20,1,AMI,24h,n,4
H20,1,AMI,24h,y,4
H20,2,AMI,24h,n,4
H20,2,AMI,24h,y,4
H20,3,AMI,24h,n,4
H20,3,AMI,24h,y,12
H20,1,CTZ,24h,n,1.5
H20,1,CTZ,24h,y,2
H20,2,CTZ,24h,n,1.5
H20,2,CTZ,24h,y,1.5
H20,3,CTZ,24h,n,1.5
H20,3,CTZ,24h,y,1.5
H20,1,CTT,24h,n,0.75
H20,1,CTT,24h,y,0.75
H20,2,CTT,24h,n,0.75
H20,2,CTT,24h,y,0.75
H20,3,CTT,24h,n,0.5
H20,3,CTT,24h,y,0.75
H20,1,CIP,48h,n,0.094
H20,1,CIP,48h,y,0.125
H20,2,CIP,48h,n,0.047
H20,2,CIP,48h,y,0.064
H20,3,CIP,48h,n,0.094
H20,3,CIP,48h,y,0.094
H20,1,GEN,48h,n,1.5
H20,1,GEN,48h,y,1.5
H20,2,GEN,48h,n,1
H20,2,GEN,48h,y,1
H20,3,GEN,48h,n,1.5
H20,3,GEN,48h,y,1.5
H20,1,TOB,48h,n,1.5
H20,1,TOB,48h,y,1.5
H20,2,TOB,48h,n,1.5
H20,2,TOB,48h,y,1.5
H20,3,TOB,48h,n,1.5
H20,3,TOB,48h,y,1.5
H20,1,MER,48h,n,0.032
H20,1,MER,48h,y,0.032
H20,2,MER,48h,n,0.032
H20,2,MER,48h,y,0.032
H20,3,MER,48h,n,0.032
H20,3,MER,48h,y,0.032
H20,1,PIT,48h,n,3
H20,1,PIT,48h,y,3
H20,2,PIT,48h,n,3
H20,2,PIT,48h,y,3
H20,3,PIT,48h,n,4
H20,3,PIT,48h,y,4
H20,1,COL,48h,n,4
H20,1,COL,48h,y,6
H20,2,COL,48h,n,3
H20,2,COL,48h,y,8
H20,3,COL,48h,n,4
H20,3,COL,48h,y,4
H20,1,AMI,48h,n,4
H20,1,AMI,48h,y,4
H20,2,AMI,48h,n,4
H20,2,AMI,48h,y,4
H20,3,AMI,48h,n,4
H20,3,AMI,48h,y,12
H20,1,CTZ,48h,n,1.5
H20,1,CTZ,48h,y,2
H20,2,CTZ,48h,n,1.5
